customer_id,name,email,phone,prefecture,city,zipcode,address1,birthdate,gender,order_id,order_datetime,item_id,item_category,quantity,unit_price,amount,ip_address,notes
CUST191924,Ito Taro,ito.taro26@example.com,090-4332-1819,Aichi,Tokyo,1499914,Aichi Tokyo 1-7-8,1990-10-01,Other,ORD20250000,2025-07-13 22:41:00,SKU7873,Books,2,3980,7960,151.72.208.223,
CUST149615,Sato Shota,sato.shota826@example.com,090-2654-2351,Tokyo,Nagoya,2622631,Tokyo Nagoya 3-12-20,1974-01-24,Female,ORD20250001,2025-08-04 03:59:00,SKU5803,Electronics,5,1980,9900,148.50.181.18,
CUST195568,Sato Naoko,sato.naoko234@example.com,090-4131-6475,Kanagawa,Osaka,6960453,Kanagawa Osaka 2-9-23,2001-11-03,Other,ORD20250002,2025-08-10 05:34:00,SKU3677,Electronics,4,3980,15920,70.254.237.164,
CUST173579,Ito Koji,ito.koji225@example.com,090-5030-5641,Kanagawa,Fukuoka,6279418,Kanagawa Fukuoka 2-16-13,1999-08-05,Female,ORD20250003,2025-07-09 07:47:00,SKU5304,Books,5,3980,19900,230.150.103.93,
CUST189353,Suzuki Hanako,suzuki.hanako522@example.com,090-7101-2269,Tokyo,Nagoya,7402509,Tokyo Nagoya 5-15-17,1974-09-28,Male,ORD20250004,2025-08-13 23:07:00,SKU5371,Books,3,980,2940,76.112.41.117,
CUST147576,Sato Naoko,sato.naoko897@example.com,090-4828-1489,Kanagawa,Yokohama,7273233,Kanagawa Yokohama 2-18-25,1991-01-20,Female,ORD20250005,2025-08-01 00:07:00,SKU4923,Food,1,1200,1200,225.146.243.21,
CUST185180,Sato Naoko,sato.naoko498@example.com,090-1822-7824,Fukuoka,Hiroshima,8099076,Fukuoka Hiroshima 2-18-25,2004-12-07,Other,ORD20250006,2025-07-20 12:42:00,SKU8177,Food,5,3980,19900,31.64.58.17,
CUST174847,Takahashi Taro,takahashi.taro603@example.com,090-8393-0103,Tokyo,Tokyo,6543670,Tokyo Tokyo 1-17-8,1975-11-16,Male,ORD20250007,2025-08-04 04:46:00,SKU8744,Books,2,3980,7960,207.105.49.25,
CUST132742,Sato Naoko,sato.naoko442@example.com,090-5667-0106,Hokkaido,Osaka,2833230,Hokkaido Osaka 2-7-7,1992-08-05,Female,ORD20250008,2025-07-12 08:29:00,SKU8260,Electronics,5,980,4900,13.167.139.215,
CUST163788,Sato Taro,sato.taro949@example.com,090-3267-7360,Kanagawa,Nagoya,1036161,Kanagawa Nagoya 4-9-30,1987-05-14,Other,ORD20250009,2025-08-05 21:45:00,SKU4111,Electronics,3,1200,3600,248.15.149.189,
CUST174668,Watanabe Taro,watanabe.taro766@example.com,090-5009-7882,Tokyo,Fukuoka,2344047,Tokyo Fukuoka 2-3-20,1962-11-28,Male,ORD20250010,2025-07-26 03:56:00,SKU1651,Electronics,5,980,4900,108.169.150.145,
CUST117361,Watanabe Yuki,watanabe.yuki958@example.com,090-4353-4624,Aichi,Osaka,2217071,Aichi Osaka 1-15-20,1994-02-03,Other,ORD20250011,2025-07-14 16:16:00,SKU2127,Food,2,1980,3960,73.41.113.214,
CUST134600,Watanabe Naoko,watanabe.naoko310@example.com,090-9808-4124,Tokyo,Tokyo,3607983,Tokyo Tokyo 3-10-20,1971-12-11,Male,ORD20250012,2025-08-13 20:54:00,SKU9004,Books,3,980,2940,24.163.109.213,
CUST140404,Takahashi Taro,takahashi.taro4@example.com,090-5242-7868,Tokyo,Tokyo,2262382,Tokyo Tokyo 2-18-2,1981-10-18,Male,ORD20250013,2025-07-28 04:02:00,SKU1653,Food,3,1200,3600,175.64.171.27,
CUST126158,Takahashi Shota,takahashi.shota574@example.com,090-6923-2260,Kanagawa,Sapporo,6573147,Kanagawa Sapporo 4-8-9,1968-12-04,Female,ORD20250014,2025-07-03 15:14:00,SKU6728,Food,3,1200,3600,58.7.169.50,
CUST167033,Tanaka Yuki,tanaka.yuki286@example.com,090-1458-6850,Tokyo,Osaka,3995870,Tokyo Osaka 5-9-2,1964-10-14,Female,ORD20250015,2025-07-21 13:38:00,SKU7311,Electronics,5,1200,6000,66.12.182.112,
CUST116683,Sato Koji,sato.koji948@example.com,090-8356-1595,Hokkaido,Hiroshima,3090865,Hokkaido Hiroshima 3-17-10,2000-07-11,Female,ORD20250016,2025-08-14 09:35:00,SKU7888,Electronics,4,12000,48000,192.232.45.158,
CUST137196,Watanabe Yuki,watanabe.yuki416@example.com,090-8044-3699,Hokkaido,Osaka,8801207,Hokkaido Osaka 4-15-22,1971-09-16,Other,ORD20250017,2025-07-11 21:05:00,SKU6491,Books,1,1200,1200,173.80.58.207,
CUST123053,Suzuki Hanako,suzuki.hanako26@example.com,090-0379-1769,Kanagawa,Sapporo,7442089,Kanagawa Sapporo 4-13-8,1967-11-23,Male,ORD20250018,2025-07-07 13:14:00,SKU9486,Books,4,980,3920,143.64.235.218,
CUST182149,Sato Haruka,sato.haruka137@example.com,090-7889-5798,Aichi,Hiroshima,8481188,Aichi Hiroshima 2-16-15,1974-04-27,Other,ORD20250019,2025-07-18 16:31:00,SKU5499,Electronics,4,980,3920,183.74.61.70,
CUST102560,Takahashi Yuki,takahashi.yuki915@example.com,090-8122-3623,Tokyo,Nagoya,7838382,Tokyo Nagoya 3-18-15,1984-01-07,Female,ORD20250020,2025-07-25 18:44:00,SKU7232,Books,4,980,3920,242.91.77.193,
CUST170008,Tanaka Shota,tanaka.shota914@example.com,090-6889-3734,Aichi,Nagoya,1486955,Aichi Nagoya 4-11-22,2001-07-24,Male,ORD20250021,2025-07-30 04:39:00,SKU7455,Electronics,5,9800,49000,170.7.22.165,
CUST129389,Tanaka Hanako,tanaka.hanako888@example.com,090-7204-6537,Osaka,Osaka,7360682,Osaka Osaka 3-14-9,1963-08-01,Other,ORD20250022,2025-08-04 01:22:00,SKU2124,Books,1,980,980,244.64.52.215,
CUST103365,Sato Koji,sato.koji157@example.com,090-3271-9374,Hiroshima,Osaka,3815034,Hiroshima Osaka 5-20-24,2003-02-25,Male,ORD20250023,2025-07-20 03:37:00,SKU7149,Food,4,12000,48000,51.20.152.177,
CUST147472,Yamamoto Naoko,yamamoto.naoko249@example.com,090-1491-9058,Aichi,Sapporo,7217147,Aichi Sapporo 1-17-21,1979-01-28,Female,ORD20250024,2025-08-01 03:27:00,SKU8532,Books,2,3980,7960,46.188.134.248,
CUST164789,Ito Yuki,ito.yuki631@example.com,090-8776-9453,Hiroshima,Tokyo,5679639,Hiroshima Tokyo 4-8-25,1987-10-20,Other,ORD20250025,2025-07-25 10:01:00,SKU3979,Food,4,1200,4800,91.205.67.88,
CUST140135,Takahashi Koji,takahashi.koji719@example.com,090-4808-3136,Aichi,Fukuoka,5031966,Aichi Fukuoka 4-16-15,1959-02-10,Male,ORD20250026,2025-07-26 22:15:00,SKU7046,Books,4,9800,39200,136.89.109.191,
CUST137093,Watanabe Yuki,watanabe.yuki361@example.com,090-7444-3135,Tokyo,Sapporo,9990305,Tokyo Sapporo 2-7-7,2005-08-09,Other,ORD20250027,2025-08-07 16:38:00,SKU4180,Electronics,3,1200,3600,93.46.78.4,
CUST108564,Ito Koji,ito.koji130@example.com,090-4008-4271,Hiroshima,Tokyo,5770422,Hiroshima Tokyo 4-16-15,1979-03-02,Female,ORD20250028,2025-07-31 03:52:00,SKU9056,Food,1,9800,9800,162.176.14.39,
CUST181399,Suzuki Shota,suzuki.shota577@example.com,090-4131-8699,Hiroshima,Fukuoka,4786401,Hiroshima Fukuoka 5-13-15,1986-05-28,Other,ORD20250029,2025-07-28 09:36:00,SKU2625,Electronics,2,12000,24000,55.68.170.21,
CUST186662,Suzuki Hanako,suzuki.hanako178@example.com,090-8120-6797,Osaka,Tokyo,4883526,Osaka Tokyo 3-10-23,1987-02-22,Male,ORD20250030,2025-07-17 20:37:00,SKU7965,Electronics,1,9800,9800,58.166.39.233,
CUST156626,Takahashi Shota,takahashi.shota146@example.com,090-1024-9947,Tokyo,Nagoya,6101803,Tokyo Nagoya 4-9-17,1992-08-15,Male,ORD20250031,2025-08-08 01:56:00,SKU6280,Books,5,1980,9900,7.24.59.247,
